"periode_data","jenis","kode_trayek","trayek","jumlah_penumpang"
"202106","Mikrotrans","JAK.46","Pasar Minggu - Jagakarsa","82501"
"202106","Mikrotrans","JAK.45","Lebak Bulus - Ragunan","57551"
"202106","Mikrotrans","JAK.44","Andara - Stasiun Universitas Pancasila","68704"
"202106","Mikrotrans","JAK.43","Tongtek - Cililitan","92420"
"202106","Mikrotrans","JAK.42","Kampung Melayu - Pondok Kelapa","69476"
"202106","Mikrotrans","JAK.41","Kampung Melayu - Ppulo Gadung","40724"
"202106","Mikrotrans","JAK.40","Harapan Baru - Pulo Gebang via Rawa Kuning","47087"
"202106","Mikrotrans","JAK.39","Kalimalang - Duren Sawit","63562"
"202106","Mikrotrans","JAK.38","Bulak Ringin - Kampung Rambutan","54526"
"202106","Mikrotrans","JAK.37","Cililitan - Condet via Kayu Manis","56898"
"202106","Mikrotrans","JAK.36","Cilangkap - Cililitan","86425"
"202106","Mikrotrans","JAK.35","Pangkalan Jati - Rawamangun","36012"
"202106","Mikrotrans","JAK.34","Rawamangun - Klender","75158"
"202106","Mikrotrans","JAK.33","Pulo Gadung - Kota","56710"
"202106","Mikrotrans","JAK.32","Lebak Bulus - Petukangan","92744"
"202106","Mikrotrans","JAK.31","Blok M - Andara","65838"
"202106","Mikrotrans","JAK.30","Grogol - Meruya via Roxy","147239"
"202106","Mikrotrans","JAK.29","Tanjung Priok - Sukapura","116097"
"202106","Mikrotrans","JAK.28","Kp. Rambutan - Taman Wiladatika","67277"
"202106","Mikrotrans","JAK.27","Pulo Gebang - Rorotan","49619"
"202106","Mikrotrans","JAK.26","Rawamangun - Duren Sawit","42770"
"202106","Mikrotrans","JAK.25","Kp. Rambutan - Kalisari","64095"
"202106","Mikrotrans","JAK.24","Senen - Pulo Gadung via Kelapa Gading","82803"
"202106","Mikrotrans","JAK.22","Dwikora - Penas Kalimalang","34486"
"202106","Mikrotrans","JAK.21","Cililitan - Dwikora","63804"
"202106","Mikrotrans","JAK.20","Cawang UKI - Lubang Buaya","67727"
"202106","Mikrotrans","JAK,19","Pinang Ranti - Kampung Rambutan","115017"
"202106","Mikrotrans","JAK.18","Kalibata - Kuningan","35311"
"202106","Mikrotrans","JAK.17","Senen - Pulo Gadung","42227"
"202106","Mikrotrans","JAK.16","Cililitan - Condet via Kayu Manis","76292"
"202106","Mikrotrans","JAK.15","Bulak Turi - Tanjung Priok","131981"
"202106","Mikrotrans","JAK.14","Tanah Abang - Meruya","89403"
